50,1,1
52,1,2
56,1,3
60,1,4
66,1,5
70,1,6
78,1,7
82,1,8
90,1,9
96,1,10
100,2,1
104,1,11
104,2,2
108,1,12
112,2,3
120,2,4
120,1,13
124,1,14
132,2,5
132,1,15
140,2,6
140,1,16
150,1,17
150,3,1
154,1,18
156,3,2
156,2,7
164,2,8
166,1,19
168,3,3
170,1,20
180,2,9
180,3,4
182,1,21
190,1,22
192,2,10
198,3,5
198,1,23
200,4,1
202,1,24
208,4,2
208,2,11
210,3,6
216,2,12
218,1,25
224,4,3
224,1,26
232,1,27
234,3,7
240,4,4
240,2,13
240,1,28
246,3,8
248,2,14
250,5,1
252,1,29
256,1,30
260,5,2
264,4,5
264,2,15
270,3,9
272,1,31
276,1,32
280,2,16
280,4,6
280,5,3
288,3,10
288,1,33
296,1,34
300,2,17
300,5,4
300,6,1
304,1,35
308,2,18
312,1,36
312,6,2
312,3,11
312,4,7
324,3,12
328,4,8
330,1,37
330,5,5
332,2,19
334,1,38
336,6,3
340,2,20
342,1,39
350,1,40
350,7,1
350,5,6
360,3,13
360,6,4
360,4,9
364,2,21
364,7,2
366,1,41
370,1,42
372,3,14
380,2,22
384,4,10
386,1,43
390,5,7
390,1,44
392,7,3
396,3,15
396,6,5
396,2,23
400,8,1
402,1,45
404,2,24
410,5,8
414,1,46
416,8,2
416,4,11
420,3,16
420,6,6
420,7,4
422,1,47
426,1,48
432,4,12
436,2,25
446,1,49
446,2,26
448,8,3
449,3,17
450,9,1
450,5,9
452,1,50
457,3,18
458,2,27
462,7,5
468,6,7
468,9,2
470,2,28
478,4,13
480,8,4
480,5,10
487,3,19
488,4,14
490,7,6
490,2,29
492,6,8
493,3,20
494,2,30
500,10,1
504,9,3
512,4,15
515,5,11
520,10,2
522,2,31
523,3,21
525,5,12
526,2,32
528,8,5
536,4,16
536,6,9
540,9,4
541,3,22
546,7,7
546,2,33
550,11,1
558,2,34
559,3,23
560,10,3
560,8,6
562,6,10
565,3,24
568,4,17
568,7,8
570,2,35
572,11,2
575,5,13
576,4,18
582,2,36
585,5,14
594,9,5
598,6,11
600,12,1
600,10,4
607,3,25
610,6,12
611,7,9
614,2,37
615,5,15
616,4,19
616,11,3
618,2,38
618,8,7
619,3,26
624,12,2
624,4,20
626,9,6
630,2,39
636,8,8
637,3,27
639,7,10
642,2,40
645,5,16
650,13,1
655,3,28
660,11,4
660,10,5
664,4,21
670,6,13
670,2,41
672,12,3
674,2,42
676,13,2
681,7,11
682,6,14
684,8,9
685,3,29
685,9,7
685,5,17
688,4,22
690,10,6
691,3,30
695,7,12
695,5,18
700,14,1
702,2,43
703,9,8
706,2,44
712,4,23
716,8,10
718,6,15
720,4,24
720,12,4
721,11,5
726,2,45
728,14,2
728,13,3
733,3,31
739,3,32
745,5,19
746,2,46
749,11,6
750,10,7
750,15,1
754,6,16
755,5,20
757,9,9
758,2,47
762,2,48
764,8,11
765,7,13
768,3,33
770,10,8
774,4,25
778,13,4
779,7,14
780,15,2
780,8,12
782,12,5
784,14,3
786,3,34
790,4,26
793,9,10
798,2,49
798,6,17
800,16,1
800,5,21
800,3,35
806,2,50
808,12,6
808,4,27
810,6,18
815,11,7
815,7,15
818,3,36
830,5,22
830,10,9
832,16,2
832,4,28
834,14,4
837,11,8
840,15,3
841,13,5
843,9,11
850,5,23
850,17,1
854,8,13
857,7,16
860,6,19
860,3,37
860,5,24
861,9,12
864,4,29
866,3,38
867,13,6
870,8,14
870,10,10
872,4,30
872,6,20
878,3,39
880,12,7
884,17,2
890,15,4
896,3,40
896,16,3
898,14,5
898,11,9
900,18,1
900,7,17
904,12,8
904,8,15
914,7,18
920,4,31
920,5,25
920,10,11
920,6,21
926,14,6
928,4,32
932,3,41
936,18,2
938,3,42
938,9,13
940,5,26
940,10,12
942,11,10
943,13,7
946,16,4
950,19,1
951,17,3
952,8,16
955,15,5
956,6,22
956,9,14
960,4,33
960,5,27
966,12,9
969,13,8
970,7,19
974,3,43
980,6,23
980,3,44
984,4,34
984,7,20
985,15,6
988,19,2
990,5,28
992,9,15
992,11,11
992,6,24
1000,20,1
1000,8,17
1000,4,35
1001,17,4
1004,18,3
1004,3,45
1004,14,7
1012,16,5
1014,12,10
1014,11,12
1016,8,18
1020,10,13
1024,4,36
1030,5,29
1032,13,9
1032,14,8
1034,3,46
1040,7,21
1040,20,2
1040,10,14
1040,5,30
1042,9,16
1044,16,6
1046,3,47
1050,21,1
1052,3,48
1054,18,4
1057,19,3
1060,6,25
1064,12,11
1065,15,7
1068,17,5
1074,8,19
1076,7,22
1078,4,37
1080,10,15
1082,13,10
1084,6,26
1086,4,38
1088,12,12
1090,8,20
1092,21,2
1095,5,31
1095,15,8
1096,14,9
1096,9,17
1097,11,13
1099,3,49
1100,22,1
1102,4,39
1102,17,6
1104,7,23
1105,5,32
1107,19,4
1108,6,27
1110,20,3
1111,3,50
1114,9,18
1118,7,24
1119,11,14
1120,4,40
1122,18,5
1126,16,7
1130,10,16
1134,6,28
1134,13,11
1144,22,2
1145,5,33
1146,14,10
1150,23,1
1154,8,21
1158,16,8
1158,18,6
1160,15,9
1160,20,4
1160,13,12
1163,21,3
1163,11,15
1165,5,34
1168,4,41
1173,9,19
1174,12,13
1176,19,5
1176,4,42
1182,6,29
1185,17,7
1185,5,35
1188,8,22
1189,7,25
1190,10,17
1191,9,20
1194,6,30
1196,23,2
1198,12,14
1200,24,1
1202,14,11
1210,10,18
1210,15,10
1213,21,4
1213,11,16
1214,19,6
1215,5,36
1216,22,3
1216,4,43
1217,7,26
1219,17,8
1220,8,23
1224,16,9
1224,4,44
1230,20,5
1230,14,12
1236,8,24
1240,18,7
1245,7,27
1246,12,15
1247,13,13
1248,24,2
1250,25,1
1254,6,31
1256,4,45
1259,9,21
1266,22,4
1266,6,32
1269,23,3
1270,10,19
1270,15,11
1270,20,6
1273,13,14
1273,7,28
1274,16,10
1274,11,17
1275,5,37
1276,18,8
1284,21,5
1285,5,38
1286,17,9
1288,4,46
1290,10,20
1295,9,22
1295,19,7
1296,12,16
1296,11,18
1300,26,1
1300,15,12
1300,25,2
1304,4,47
1305,5,39
1310,8,25
1310,6,33
1312,4,48
1316,14,13
1319,23,4
1322,24,3
1323,7,29
1325,13,15
1325,5,40
1326,21,6
1331,9,23
1333,19,8
1334,6,34
1336,17,10
1337,7,30
1338,16,11
1338,22,5
1342,8,26
1344,14,14
1344,18,9
1349,9,24
1350,20,7
1350,26,2
1350,27,1
1358,6,35
1358,12,17
1360,10,21
1362,11,19
1366,4,49
1370,16,12
1372,24,4
1374,8,27
1375,13,16
1375,25,3
1380,5,41
1382,12,18
1382,22,6
1382,4,50
1384,11,20
1385,15,13
1390,5,42
1390,20,8
1392,23,5
1394,18,10
1394,6,36
1400,27,2
1400,28,1
1400,14,15
1400,10,22
1402,19,9
1403,17,11
1405,21,7
1406,8,28
1407,7,31
1415,15,14
1421,7,32
1424,26,3
1425,25,4
1426,9,25
1437,17,12
1438,13,17
1438,23,6
1440,5,43
1440,10,23
1446,24,5
1447,21,8
1450,5,44
1450,29,1
1450,28,2
1450,14,16
1451,11,21
1452,19,10
1454,12,19
1454,16,13
1456,6,37
1456,8,29
1458,9,26
1460,22,7
1460,10,24
1460,20,9
1462,18,11
1464,13,18
1464,7,33
1468,6,38
1472,8,30
1473,27,3
1474,26,4
1475,15,15
1478,12,20
1480,5,45
1486,16,14
1492,7,34
1492,6,39
1494,24,6
1494,9,27
1495,11,22
1498,18,12
1500,25,5
1500,29,2
1500,30,1
1504,22,8
1510,20,10
1514,14,17
1515,23,7
1516,6,40
1518,21,9
1520,7,35
1520,5,46
1520,17,13
1521,19,11
1522,28,3
1523,27,4
1525,15,16
1530,9,28
1539,11,23
1540,5,47
1540,13,19
1540,10,25
1542,12,21
1542,14,18
1546,8,31
1548,26,5
1550,5,48
1550,16,15
1550,30,2
1550,31,1
1550,25,6
1554,17,14
1556,7,36
1559,19,12
1561,11,24
1561,23,8
1562,8,32
1566,13,20
1568,21,10
1570,24,7
1570,10,26
1571,29,3
1572,28,4
1572,6,41
1576,22,9
1580,18,13
1580,20,11
1584,9,29
1584,6,42
1590,15,17
1590,12,22
1596,27,5
1598,26,6
1600,32,1
1600,16,16
1600,31,2
1602,9,30
1610,10,27
1610,5,49
1610,8,33
1616,18,14
1618,24,8
1620,20,12
1620,15,18
1620,14,19
1620,30,3
1621,29,4
1621,17,15
1625,25,7
1626,22,10
1626,7,37
1629,13,21
1630,5,50
1634,23,9
1638,12,23
1639,21,11
1640,7,38
1640,19,13
1642,8,34
1644,11,25
1644,6,43
1644,28,5
1646,27,6
1648,14,20
1650,32,2
1650,33,1
1650,10,28
1656,6,44
1662,12,24
1666,16,17
1668,7,39
1669,31,3
1670,30,4
1671,17,16
1672,11,26
1672,26,7
1674,8,35
1675,9,31
1675,25,8
1678,19,14
1679,13,22
1681,21,12
1684,18,15
1684,23,10
1692,24,9
1692,29,5
1692,6,45
1693,9,32
1694,28,6
1696,7,40
1698,16,18
1698,22,11
1700,15,19
1700,34,1
1700,33,2
1700,20,13
1708,8,36
1710,10,29
1712,14,21
1716,11,27
1718,32,3
1719,31,4
1719,27,7
1722,26,8
1730,6,46
1730,15,20
1730,10,30
1731,13,23
1734,18,16
1738,17,17
1740,30,5
1740,20,14
1742,22,12
1742,24,10
1742,29,6
1747,19,15
1747,9,33
1748,12,25
1750,34,2
1750,25,9
1750,35,1
1753,7,41
1754,6,47
1757,13,24
1757,23,11
1760,21,13
1760,11,28
1762,14,22
1766,6,48
1766,28,7
1767,7,42
1767,33,3
1768,32,4
1769,27,8
1772,17,18
1774,12,26
1780,16,19
1782,8,37
1783,9,34
1788,31,5
1790,30,6
1795,15,21
1796,26,9
1797,19,16
1798,8,38
1800,25,10
1800,36,1
1800,35,2
1800,10,31
1802,21,14
1802,18,17
1803,23,12
1810,20,15
